No.,Sample Name,Contributors,True Ratios,Estimated Ratios,MAE,RMSE,R²,Status
1,A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4...,2,0.200; 0.800,0.333; 0.667,0.1333,0.1333,0.8025,Success
2,A02_RD14-0003-40_41_42_43-1;1;1;1-M4I35-...,4,0.250; 0.250; 0.250; 0.250,0.288; 0.318; 0.109; 0.285,0.0706,0.0825,0.0000,Success
3,A02_RD14-0003-41_42_43-1;9;1-M2c-0.165IP...,3,0.091; 0.818; 0.091,0.100; 0.689; 0.211,0.0858,0.1018,0.9118,Success
4,A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9...,2,0.500; 0.500,0.500; 0.500,0.0000,0.0000,0.0000,Success
5,A02_RD14-0003-50_29_30_31-1;1;2;1-M3c-0....,4,0.200; 0.200; 0.400; 0.200,0.245; 0.263; 0.280; 0.212,0.0598,0.0715,0.3186,Success
6,A03_RD14-0003-40_41-1;4-M4a-0.075IP-Q0.6...,2,0.200; 0.800,0.106; 0.894,0.0944,0.0944,0.9009,Success
7,A03_RD14-0003-41_42_43-1;9;1-M2e-0.165IP...,3,0.091; 0.818; 0.091,0.130; 0.702; 0.169,0.0778,0.0840,0.9399,Success
8,A03_RD14-0003-43_44_45_46_47-1;1;2;1;1-M...,5,0.167; 0.167; 0.333; 0.167; 0.167,0.181; 0.268; 0.214; 0.058; 0.280,0.0913,0.0992,-1.2159,Success
9,A03_RD14-0003-44_45_46_47-1;1;4;1-M3I35-...,4,0.143; 0.143; 0.571; 0.143,0.184; 0.196; 0.400; 0.221,0.0859,0.1001,0.7089,Success
10,A03_RD14-0003-50_29_30_31-1;1;2;1-M3e-0....,4,0.200; 0.200; 0.400; 0.200,0.250; 0.272; 0.307; 0.171,0.0610,0.0655,0.4283,Success
11,A04_RD14-0003-32_33_34_35-1;1;9;1-M2c-0....,4,0.083; 0.083; 0.750; 0.083,0.073; 0.081; 0.744; 0.103,0.0097,0.0116,0.9984,Success
12,A04_RD14-0003-40_41-1;4-M3e-0.155IP-Q0.8...,2,0.200; 0.800,0.165; 0.835,0.0352,0.0352,0.9862,Success
